id,created_at,text
911705737142906880,2017-09-23 21:36:01,"b""I received the news, of ITLOS' unanimous judgment in favour of Ghana, with great joy. See my full statement here: https://t.co/rM5InykCIl"""
907539513915920385,2017-09-12 09:40:56,"b""No meaningful attainment of sustainable world dev't can be achieved without equal participation of women in all segments of human endeavour."""
907539405388353537,2017-09-12 09:40:30,b'Empowerment of women is not a privilege. It is a right.'
907539288698519553,2017-09-12 09:40:02,b'Ethiopia- 75% of labour on coffee farms women but earn only 34% of the income.'
907539264803663872,2017-09-12 09:39:56,b'E.g. Cote D\xe2\x80\x99Ivoire- 60% of labour on cocoa farms women but earn only 21% of the income.'
907538751995465728,2017-09-12 09:37:54,b'Distribution of income in the agricultural value chain in many cases is tilted against women.'
907538455315578881,2017-09-12 09:36:43,b'Most land holding systems are male dominated. Women also have limited access to technology for modernized agriculture.'
907538435006660608,2017-09-12 09:36:38,b'Africa\xe2\x80\x99s land tenure systems make it difficult for women to access and own land for agricultural purposes.'
907538339573780480,2017-09-12 09:36:16,"b'At the last @AfDB_Group Board meeting in India, we concluded that to attract the interest of the youth, agriculture must be cool or sexy'"
907538158912458752,2017-09-12 09:35:32,b'To achieve this not only women but also the youth must be attracted to invest and participate in agricultural production.'
907538076544782336,2017-09-12 09:35:13,"b'The available arable land means Africa has the potential to, not only feed itself but, feed the rest of the world.'"
907538016578805760,2017-09-12 09:34:59,"b'Africa possesses about 600 million hectares of uncultivated arable land, amounting to about 60% of the world total.'"
907537825591164928,2017-09-12 09:34:13,"b'It is more predominant in certain aspects along the agricultural value chain, e.g. processing and marketing.'"
907537755672076288,2017-09-12 09:33:56,b'Participation of women in agricultural production in Africa is between 40% and 60%.'
907537569004572672,2017-09-12 09:33:12,"b'This Summit appropriately focuses on Women, Agriculture &amp; sustainable development. In no sector is the participation of women more critical'"
907537298736271361,2017-09-12 09:32:07,"b'Women must have the right &amp; control to decide the number of children they want, &amp; unfettered access to birth control methods &amp; facilities'"
907537094406492160,2017-09-12 09:31:19,b'The practice of taking young girls out of school midstream and marrying them off mostly to men far older than them must stop.'
