id,created_at,text
914856426551611394,2017-10-02 14:15:43,b'Russia shares the sorrow of those who lost their loved ones in Las Vegas. We wish a speedy recovery to the injured'
914854310147690498,2017-10-02 14:07:19,b'I am shocked by the tragedy in Las Vegas. The crime is striking in its violence and cynicism'
908398928294531072,2017-09-14 18:35:56,b'Thanks to everyone who wished me a happy birthday! https://t.co/cgUalOoXPC'
906484265784881153,2017-09-09 11:47:45,"b'Happy birthday, #Moscow! https://t.co/OSDVn9WWb4'"
904642487393951744,2017-09-04 09:49:11,b'Congratulations to the Russian volleyball team on winning the European championship. I wish you success and continuing victories'
894940346337173504,2017-08-08 15:16:20,b'Today we see even worse examples of violence than in South Ossetia. One thing remains certain: Russia is always ready to defend its citizens'
894939395077410816,2017-08-08 15:12:33,"b'We reacted to aggression with a peace enforcement operation and defended Russians, true to the law and conscience https://t.co/r7X65gkSmp'"
894938335537496064,2017-08-08 15:08:20,b'In these August days we think back to the tragic events of 2008 in Tskhinval https://t.co/r7X65gkSmp'
892849351881392128,2017-08-02 20:47:28,"b'We will steadily continue our work on developing the economy, relying mostly on ourselves. We have learned to do this'"
892848146463588352,2017-08-02 20:42:41,"b'The US establishment fully outwitted Trump. The President is not happy about the sanctions, yet he could not but sign the bill'"
892847115281485824,2017-08-02 20:38:35,b'The Trump administration has shown its total weakness by handing over executive power to Congress in the most humiliating way'
892846052239228929,2017-08-02 20:34:21,"b""The US President's signing of the package of new Russia sanctions ends hopes for improving our relations https://t.co/UizYaTbSR6"""
892843326264688640,2017-08-02 20:23:31,"b""The US President's signing of the package of new sanctions against Russia will have a few consequences: https://t.co/UizYaTbSR6"""
891720094300221440,2017-07-30 18:00:12,"b""Arnold @Schwarzenegger turns 70 today. Hope you'll be back, Arnold! https://t.co/rGzchk1rMa"""
881112621604319232,2017-07-01 11:29:53,"b'Today we bid farewell to Helmut Kohl, the architect of the united Europe. He will always be remembered in Russia as\xe2\x80\xa6 https://t.co/cGtuUgXvuf'"
880411314321051649,2017-06-29 13:03:09,b'The EU has decided to extend its anti-Russia sanctions. Russia will extend its response measures through 2018'
877494031164612608,2017-06-21 11:50:54,"b'RT @MichelTemer: (AI) Na R\xc3\xbassia, presidente Michel Temer se re\xc3\xbane com @MedvedevRussiaE, presidente de Governo da Federa\xc3\xa7\xc3\xa3o da R\xc3\xbassia. https\xe2\x80\xa6'"
874182594484723712,2017-06-12 08:32:26,b'Happy Russia Day! https://t.co/FuD7qXsMWy'
867006601068240897,2017-05-23 13:17:36,b'The heinous act of terror took the lives of children and adults in #Manchester. The global community must unite against terrorism'
861957663449600000,2017-05-09 14:54:56,"b""My grandfathers Afanasy Medvedev, Veniamin Shaposhnikov went through the war. May the memory of all our nation's de\xe2\x80\xa6 https://t.co/YCkUC6Ahi0"""
861870602772250624,2017-05-09 09:08:59,b'This is a great day for our nation. Happy Victory Day!'
853506459430268928,2017-04-16 07:12:51,b'Happy Easter! https://t.co/efbqccF0AI https://t.co/ZPiyDjvBrs'
850370201636012033,2017-04-07 15:30:29,b'The latest US military action showed the Trump administration\xe2\x80\x99s dependency on the Washington establishment https://t.co/jQ1uBrnuJh'
848936962736238595,2017-04-03 16:35:19,b'My condolences to the families and loved ones of the victims of the explosion in the St Petersburg Metro. This pain is shared by us all.'
847360050045665280,2017-03-30 08:09:13,"b'Kropotkin Ice Cap, Alexandra Land, Franz Joseph Land Archipelago https://t.co/GuuKgyqXBm'"
847163073123241984,2017-03-29 19:06:30,b'Visited Franz Josef Land Archipelago with President Vladimir Putin today https://t.co/Uj2lAwwZ0k'
839437753490243585,2017-03-08 11:28:51,"b""Congratulations on International Women's Day to our dear women! Happiness and love to you all! https://t.co/5ytCZ8TGjS"""
835222155390496768,2017-02-24 20:17:34,b'RT @GovernmentRF: 3rd CISM World Military Winter Games have opened in Sochi https://t.co/7fO79yJkTL'
833766468336619524,2017-02-20 19:53:11,"b'Vitaly Churkin, an outstanding diplomat and uncompromising defender of Russia\xe2\x80\x99s interests, has passed away. My deepest condolences.'"
822159728457510912,2017-01-19 19:12:08,b'Assessing Russian-US relations under the Obama administration https://t.co/5hA6lBxIrT'
817499923847450624,2017-01-06 22:35:44,b'Merry Orthodox Christmas! https://t.co/geHrPgPZRa https://t.co/DSpmuu0ToZ'
815172902823886849,2016-12-31 12:28:59,b'Happy New Year 2017! May all your wishes come true!'
814757341975429120,2016-12-30 08:57:42,"b'It is regrettable that the Obama administration, which started out by restoring our ties, is ending its term in an anti-Russia agony. RIP'"
802458410260131840,2016-11-26 10:26:08,b'We last spoke on the phone in August. Fidel Castro had a keen interest in the events in the world and in Russia\xe2\x80\xa6 https://t.co/bSZE0sggX3'
776500228786679808,2016-09-15 19:17:35,b'The Crimea bridge will connect the peninsula to the rest of the country https://t.co/sbFOBzO9vu'
776311477124800512,2016-09-15 06:47:33,b'Thanks to everyone who has wished me a happy birthday https://t.co/K5iI3bUnhT https://t.co/drZg3OmFcA'
775717042175545344,2016-09-13 15:25:29,"b'Railway transport is essential for our large country \xe2\x80\x93 service quality must be high, prices affordable https://t.co/rnHz4QGBwD'"
774670718286041088,2016-09-10 18:07:46,"b'Fishing with the President on Lake Ilmen, Novgorod Region https://t.co/yWHauuPW02'"
774601505542406149,2016-09-10 13:32:44,"b'Happy Birthday, Moscow! https://t.co/qOjOZ30nl9'"
774579261558652928,2016-09-10 12:04:21,"b'Despite the unfavourable economic environment, Russia continues to develop https://t.co/0jlHnVQSFn https://t.co/DsJYkMasjQ'"
774571037811941376,2016-09-10 11:31:40,"b""Europe has failed to think its migration policy through. It's a lesson for Europe and also for Russia (INTERVIEW) https://t.co/0jlHnVQSFn"""
773822210314297344,2016-09-08 09:56:06,b'East Asia Summit in Laos https://t.co/sPJHtL9QUZ https://t.co/hnpspQejQh'
773792733530058752,2016-09-08 07:58:58,b'With President of Laos Bounnhang Vorachith https://t.co/cVlsDHKwob'
773782740596580352,2016-09-08 07:19:16,b'With Prime Minister of New Zealand John Key https://t.co/z52i4HNr7e'
773782150000828417,2016-09-08 07:16:55,b'Meeting with Premier of the State Council of China Li Keqiang on the sidelines of the 11th East Asia Summit in Laos https://t.co/ejwTN55JzF'
773524295607869441,2016-09-07 14:12:18,b'I call on all Russian students to vote in September 18 election. This is a crucial time \xe2\x80\x93 we are choosing our future https://t.co/VqWgKVjDBd'
773228971915968512,2016-09-06 18:38:47,b'Our goal is for the effects of United Russia\xe2\x80\x99s work to be felt in real life by every citizen of our country https://t.co/4DxJfFhR0S'
773228730777006080,2016-09-06 18:37:49,"b""Many United Russia initiatives have been enacted, and there's more to come https://t.co/12qtoQXBCL"""
773228463058743296,2016-09-06 18:36:46,"b'On the agenda: roads, relocating from dilapidated housing, building schools and kindergartens, pension indexation https://t.co/WHPNPSnLTP'"
773228106920452096,2016-09-06 18:35:21,b'Met with deputies and activists from the United Russia party together with President Vladimir Putin https://t.co/79wQJNNbqJ'
772057527689310210,2016-09-03 13:03:53,"b""Uzbekistan's President did a great deal for relations between our nations. I am confident they will continue to develop in the same spirit"""
772056580447666177,2016-09-03 13:00:07,b'Heartfelt condolences to the people of Uzbekistan on the passing of President Islam Karimov https://t.co/OQyeSbfpRK'
771722697592147968,2016-09-02 14:53:23,"b'Crop yields are expected to reach unprecedented highs this year, a great success for farmers and government efforts https://t.co/G5z0gH2CVR'"
771319582040743936,2016-09-01 12:11:33,"b'Congratulations to pupils, students, their parents and teachers on Knowledge Day! Good luck in the new school year! https://t.co/Pt6ifusmMV'"
770291252013174784,2016-08-29 16:05:20,"b'I want all Russians to know that Russia will always stand by them, as in South Ossetia and Crimea https://t.co/03S7KTdObY'"
768834804494245888,2016-08-25 15:37:56,"b""Russia has high hopes for the 2020 Olympics. I'm confident our team will win at least as many medals"""
768833958192746500,2016-08-25 15:34:34,"b""Russia's Olympians have proved that our achievements in sport have nothing to do with doping"""
768452335211257856,2016-08-24 14:18:08,b'Condolences to the Italian people on the destructive earthquake. The Russian Government is ready to assist with any disaster relief efforts'
768083387710078976,2016-08-23 13:52:04,b'Banning our Paralympic athletes from Rio 2016 is a cynical decision motivated by desire to remove strong rivals https://t.co/zWXfsav7Jl'
767625962913660928,2016-08-22 07:34:26,"b'Our Olympic team performed wonderfully in Rio. The 2016 Games were not simple, yet our athletes achieved great results. Congratulations!'"
766652009118310400,2016-08-19 15:04:17,"b'Balaklava Bay, Crimea, Russia https://t.co/C0TWcL6Fay https://t.co/dGTED4JnDj'"
764149763969286144,2016-08-12 17:21:15,b'The attempted terrorist attack in Crimea is an act of sabotage against Russia and its people https://t.co/M4CjP5Zb37'
761774637340647424,2016-08-06 04:03:21,b'Best of luck and great achievements to our athletes in Rio. Go Russia! #Rio2016'
758713482086875136,2016-07-28 17:19:25,b'The Ebola vaccine proves what Russian medicine is capable of. All areas of pharmacology will be developed https://t.co/YBR5XL4yF8'
757579784880791552,2016-07-25 14:14:30,b'Crimean roads were rarely renovated by the previous government and are 80% worn out. There is a lot of work to do https://t.co/Z7z9Q80emY'
755435616867934209,2016-07-19 16:14:21,"b'Discussed with the President the strengthening rouble, plans to support business, developing non-resource exports https://t.co/0d7Mir8pcb'"
754261486822883328,2016-07-16 10:28:46,b'We are making every effort to protect our citizens and companies in Turkey https://t.co/dT6yAm3pUK'
753889528117596160,2016-07-15 09:50:44,b'At the ASEM Summit I proposed to our European partners starting a full EAEU-EU dialogue https://t.co/cmQiELVRcz https://t.co/X0IkrEwGKD'
753828933477425152,2016-07-15 05:49:57,"b'Europe and Asia must unite against terrorism. Terrorists and their sponsors only understand the language of force, and we must use it'"
753828699368075269,2016-07-15 05:49:02,"b'My deepest condolences to France, those who suffered in this heinous act of terror in Nice and families of victims https://t.co/OiafU5zfKh'"
753639834594504704,2016-07-14 17:18:33,"b""The visit to Mongolia started with talks with the country's leaders. In 2015, bilateral trade topped $1 billion https://t.co/1guOI7kqTv"""
753266710241767424,2016-07-13 16:35:53,b'Discussed priority projects with the President. People should start seeing results as early as this year https://t.co/lYtXBf7LKm'
752868746985893888,2016-07-12 14:14:31,b'With Prime Minister of Belarus Andrei Kobyakov https://t.co/4tcw1Dl3f3'
751778944530124800,2016-07-09 14:04:02,b'July morning https://t.co/GFLifNAoTo https://t.co/PEUrehCSp7'
751418453781803008,2016-07-08 14:11:34,"b'Pharmaceuticals production is growing in Russia. By 2018, 90% of essential medicines will be made domestically'"
751047740981911552,2016-07-07 13:38:29,"b""Social issues are the new budget's priority. This government policy will remain unchanged in any circumstances https://t.co/FnbDrnrWGR"""
750738148125278208,2016-07-06 17:08:17,b'The opening ceremony of the 6th Children of Asia International Sports Games in Yakutsk https://t.co/FEFdVuAlf7 https://t.co/VwKh7UPWUb'
749186608532979716,2016-07-02 10:23:01,"b'RT @GovernmentRF: PM Medvedev\xe2\x80\x99s Vesti v Subbotu interview: #UnitedRussia election strategy, ties with Turkey https://t.co/qIqL5iEL66 https:\xe2\x80\xa6'"
749184047528742912,2016-07-02 10:12:50,"b'RT @GovernmentRF: In restoring trade ties with Turkey, we will not remove from the market new goods and service suppliers who have carved o\xe2\x80\xa6'"
748902691322130432,2016-07-01 15:34:50,"b""RT @GovernmentRF: The ban on Russian tourists' travel to Turkey was lifted on the key condition that their safety and security become a pri\xe2\x80\xa6"""
748162468476747778,2016-06-29 14:33:27,b'My condolences to the loved ones of the Istanbul terrorist attack victims. This tragedy shows the importance of joint efforts against terror'
747468420606722049,2016-06-27 16:35:33,b'The United Russia party approved the State Duma candidates list and a new platform. We are committed to winning https://t.co/3MSxrVjio9'
747334410240827392,2016-06-27 07:43:02,b'I will be speaking today at the United Russia party congress. Live broadcast at 2 pm MSK at https://t.co/78iB4hYqlJ https://t.co/9l5N9Ove5y'
746971004120010752,2016-06-26 07:39:00,b'Congratulations to all graduates! https://t.co/icGYWZa4N5 https://t.co/KK6pTI8M7Y'
746342219225907204,2016-06-24 14:00:26,b'Britain leaving the EU is its domestic issue. Our task is to analyse the outcome and make decisions that will benefit the Russian economy'
746072223174230017,2016-06-23 20:07:34,b'A Moscow evening seen through #Prisma https://t.co/xrMQcWVfkZ https://t.co/gURbg6SqyX'
745589114226024449,2016-06-22 12:07:51,b'The Day of Memory and Grief: laying a wreath before the Eternal Flame at the Tomb of the Unknown Soldier https://t.co/Q7ZGdrenRv'
745306431079972864,2016-06-21 17:24:34,"b'United Russia Party Forum: ""The Russian Economy: The Country\'s Success and the Common Well-Being"" https://t.co/fTdWvdMzBJ'"
745304260670283776,2016-06-21 17:15:57,"b""Magnitogorsk is one of our largest industrial centres. The city's iron and steel products are well-known worldwide https://t.co/We3H2jg1fO"""
743048470999752705,2016-06-15 11:52:15,b'My condolences to US Vice-President Joe Biden over the Orlando shooting https://t.co/aQSYeqsMoX'
741889451241177088,2016-06-12 07:06:43,b'Happy Russia Day! https://t.co/iLHbtahxfV https://t.co/FebeMHyusX'
740431798354780160,2016-06-08 06:34:31,"b'MC-21, a new Russian jet airliner https://t.co/opf4wTx1cL https://t.co/NiCUiA77UD'"
740174067555282944,2016-06-07 13:30:24,b'Meeting of the CIS Heads of Government Council in Bishkek https://t.co/e0p616Wc0D'
739868699801341953,2016-06-06 17:16:58,b'The foothills of the Tian Shan https://t.co/61ji6cZeT5 https://t.co/nvBfsTUiUz'
739818767321010176,2016-06-06 13:58:33,"b'Kyrgyzstan is a close friend and partner, our ties grow stronger including under the EAEU https://t.co/j7kErpd4qO'"
738744777580109824,2016-06-03 14:50:54,"b""Happy 85th birthday to Cuba's Raul Castro! https://t.co/A1xXpHHst7"""
738740709163995136,2016-06-03 14:34:44,"b'Red Square has become a book square, which again shows that literature is an important part of our lives https://t.co/Uwqr6A2aoq'"
738022178780762112,2016-06-01 14:59:33,b'Intl Children\xe2\x80\x99s Day is also the first day of holidays. Congrats and have a great summer! https://t.co/IMkLKpAVUk'
736196657470115840,2016-05-27 14:05:35,"b'After requests from the agriculture industry, I have asked for proposals on extending the food embargo through 2017 https://t.co/w9Pv4ipgdH'"
735828302603165696,2016-05-26 13:41:53,b'Meeting with First Vice President of Cuban Council of State and Council of Ministers Miguel Diaz-Canel in Moscow https://t.co/EdZS0kQiAl'
735548632393453570,2016-05-25 19:10:34,"b'Congratulations to high school graduates on finishing school, and good luck with exams! https://t.co/Ed361uhCYU'"
734795377002549248,2016-05-23 17:17:24,b'Evening in Crimea https://t.co/uNqDsHQLsU https://t.co/NukFqZFvZT'
733665110741356544,2016-05-20 14:26:07,b'Meeting of the Eurasian Intergovernmental Council in Yerevan https://t.co/WtswP5ZLuK https://t.co/3lIbbdAeD8'
733272576781373441,2016-05-19 12:26:20,b'Russia-Singapore talks https://t.co/McM8HSxpX6 https://t.co/TeH1DlS3rF'
732971287556050944,2016-05-18 16:29:07,b'Russia-Thailand talks https://t.co/GaBITYosEm https://t.co/I0OWUiP5cY'
732952704067178497,2016-05-18 15:15:16,b'Trust in law is the only option for resolving global crises https://t.co/LzOBi51tc8 https://t.co/wPfSm2EPJG'
732518105667227648,2016-05-17 10:28:20,b'With Prime Minister of Cambodia Hun Sen https://t.co/mJIMKkmJxV https://t.co/udgFNxXyfe'
732186485869449216,2016-05-16 12:30:36,b'Talks with Prime Minister of Vietnam Nguyen Xuan Phuc https://t.co/UNCKD3dAFn https://t.co/5H0sAb1KNT'
731550118432919552,2016-05-14 18:21:54,"b""Visiting Belarusian President Alexander Lukashenko's hometown https://t.co/5MhfByqNVq https://t.co/h613ZhF2nv"""
730770495562481664,2016-05-12 14:43:57,"b'A Union State Council of Ministers meeting in Mogilyov, the Republic of Belarus https://t.co/UEIZpBU9VF'"
729598881923792898,2016-05-09 09:08:23,b'Happy Victory Day! https://t.co/R60T3ymxMY'
729306952828850177,2016-05-08 13:48:22,b'The New Jerusalem Monastery https://t.co/iGLFQG1R8F https://t.co/kgn4nnBnl3'
728650206292643840,2016-05-06 18:18:41,b'Millions of people should be able to feel the spirit of competition. Let the Ice Hockey World Championships begin! https://t.co/27sP56hfQl'
728209884735541248,2016-05-05 13:09:00,"b'We are grateful to our veterans for their feat. It is vital to keep these memories, to tell the young about the war https://t.co/3g1nioiyjl'"
726542109428338688,2016-04-30 22:41:52,b'Christ has risen! https://t.co/F61nMX5SLo'
725354387200204800,2016-04-27 16:02:16,b'Oil price stability is more important than its maximum value. The result of the Doha talks should not be dramatised https://t.co/zH4qAsfTBZ'
725353439484612610,2016-04-27 15:58:31,b'Algeria is our important partner in the Arab world. We have joint projects in various areas https://t.co/zH4qAsfTBZ https://t.co/5UUMI6PYxb'
724950512018317313,2016-04-26 13:17:25,b'The economy has stabilised. Now it is important to promote growth and prepare for any macroeconomic scenario https://t.co/opILc6E9dS'
724685886600962048,2016-04-25 19:45:54,b'New production facilities in Chelyabinsk https://t.co/L10vtT35Mv'
724682762482012160,2016-04-25 19:33:29,"b'800 import substitution investment projects were launched in 2015. This year, budget support will remain unchanged https://t.co/Zce8MwrEci'"
724615187056218112,2016-04-25 15:04:57,b'The new oil pump plant in Chelyabinsk is a good example of import substitution in the fuel and energy sector https://t.co/3fOmPootok'
724228603953745920,2016-04-24 13:28:49,b'Spring https://t.co/JAWk4UXcqh https://t.co/7CfSoIp5PC'
723141355766050816,2016-04-21 13:28:29,"b'Despite the challenging economic conditions, our goal is to achieve a growth rate no lower than the world average https://t.co/5wftEPJsh6'"
723134446526816256,2016-04-21 13:01:01,"b""We're at the start of a new budget cycle. Three forecasts have been prepared: baseline, conservative and targeted https://t.co/3OT5r5hMdY"""
722875285247381504,2016-04-20 19:51:13,"b""Together with Vladimir Putin, met with participants in United Russia's primaries today https://t.co/70wCVQQNou"""
722788509094772736,2016-04-20 14:06:23,b'Russia\xe2\x80\x99s economy has passed the stress test https://t.co/fNuW2A3kFs'
722448560944508930,2016-04-19 15:35:34,b'Economy can be stable without oil super-profits: the share of unrelated income grew to 57% https://t.co/B6QCIODXIa https://t.co/yLywB7xznu'
722446577202282496,2016-04-19 15:27:41,b'Taxes in Russia will not increase until 2018 https://t.co/B6QCIODXIa https://t.co/jACN6t9rhb'
722429662878633984,2016-04-19 14:20:28,b'Annual Government performance report to the State Duma on 2015 results https://t.co/B6QCIODXIa https://t.co/DXJFrqSip2'
721002486669164544,2016-04-15 15:49:23,b'Agriculture has been a leading sector for five years. Our task is to keep growing https://t.co/1JLlfKPE1w'
720244955021639680,2016-04-13 13:39:13,b'Meeting of the Eurasian Intergovernmental Council https://t.co/P7toHpxvjp https://t.co/cgg8RTgCPM'
719793810163818498,2016-04-12 07:46:32,"b""Yuri Gagarin became the world's first man in space 55 years ago. Congratulations on Cosmonautics Day! https://t.co/scFVPzNJdG"""
718734989932814336,2016-04-09 09:39:09,b'Russia seeks peace in Nagorno-Karabakh. Interview with Vesti v Subbotu programme https://t.co/nb9q7Hdd5z https://t.co/kj1n1PsU5j'
718453309179314176,2016-04-08 14:59:51,b'Friendship traditions with Azerbaijan evolved over centuries. We value our close relations https://t.co/rT4fbZqhwv'
718437712873811968,2016-04-08 13:57:53,"b'Baku, Azerbaijan https://t.co/fSeAO93N7N https://t.co/EZ1M4rWQKO'"
718416818109595648,2016-04-08 12:34:51,b'Official visit to the Republic of Azerbaijan https://t.co/rvsc8caE17'
718219904051240962,2016-04-07 23:32:23,"b""It is essential Nagorno-Karabakh conflict doesn't slip into hot phase. Russia ready to continue to act as a mediator https://t.co/W7FZfHS1Vp"""
718183115416551424,2016-04-07 21:06:12,b'With President of Armenia Serzh Sargsyan https://t.co/s2iylT5e0g'
718131103383560192,2016-04-07 17:39:31,b'Talks with Prime Minister of Armenia Hovik Abrahamyan https://t.co/W7FZfHS1Vp https://t.co/foHfB1UhBJ'
718108433657032704,2016-04-07 16:09:27,"b'Yerevan, Armenia https://t.co/KaN5GCNDw5 https://t.co/Czd4QO60r3'"
718091158417711104,2016-04-07 15:00:48,b'Official visit to the Republic of Armenia https://t.co/5CnKtvuzCV https://t.co/WHpniH0hrZ'
717989329461723136,2016-04-07 08:16:10,"b""Results of the Dutch referendum on the EU-Ukraine association agreement indicate Europeans' opinion of the Ukrainian political system"""
717663885340385281,2016-04-06 10:42:58,b'Meeting with President of Austria Heinz Fischer in Moscow https://t.co/VJEhRaeTvQ'
716959299940048896,2016-04-04 12:03:12,b'Visit to the Kemerovo Region to discuss the prospects of the coal mining industry https://t.co/MCT0VpI4wn'
715186345833078784,2016-03-30 14:38:07,b'Perm has hosted a meeting to discuss the development of iron and non-ferrous industries https://t.co/EsSv99qbo2 https://t.co/fpmQm83wed'
712629419966341121,2016-03-23 13:17:48,b'With German Foreign Minister Frank-Walter Steinmeier https://t.co/z049FtO37Q'
