id,created_at,text
911804875893235713,2017-09-24 04:09:57,b'Well done @pmbillenglish on running a tremendous campaign https://t.co/1mCgvVwSoB'
910390833756610560,2017-09-20 06:31:03,"b""RT @pmbillenglish: Last debate of the campaign, I'm ready. #PartyVoteNational https://t.co/wpUTPemkax"""
908906301438095361,2017-09-16 04:12:03,b'RT @NZNationalParty: A brief note from @RtHon_JohnKey:\n\n#BackingBill #PartyVoteNational https://t.co/miEKwAyUu2'
897613724021915648,2017-08-16 00:19:23,b'@pmbillenglish Thanks for your support today Bill.'
897613558342615045,2017-08-16 00:18:43,b'A special day to share with my wife Bronagh and son Max Key - very proud. https://t.co/byIDURnX0k'
887474983982710784,2017-07-19 00:51:39,b'Some great news for families in these changes. Keep up the good work Bill. https://t.co/NGQAiIiRCF'
887170533581758464,2017-07-18 04:41:52,b'Delighted to have been made an Honorary Companion in the Order of Australia today. Also enjoyed catching up with\xe2\x80\xa6 https://t.co/TVlHPxsHlc'
879122516928643072,2017-06-25 23:41:55,"b""RT @pmbillenglish: This year's election will be tough. It will be tight. But we are united, we are energised and we are ready. https://t.co\xe2\x80\xa6"""
876237354125541377,2017-06-18 00:37:19,b'RT @pmbillenglish: Delighted to be in Auckland for the opening of the $1.4b 2.4km long Waterview Tunnel which will open to traffic in early\xe2\x80\xa6'
874352442531512320,2017-06-12 19:47:21,b'RT @pmbillenglish: Fantastic work @EmiratesTeamNZ in winning the challenger series final. Looking forward to you taking on @OracleTeamUSA f\xe2\x80\xa6'
871462727075508224,2017-06-04 20:24:39,"b""Incredibly humbled to receive this honour. Thank you for all the kind messages of support I've received. It was a privilege to be PM of NZ."""
871235082190639104,2017-06-04 05:20:05,"b""RT @pmbillenglish: New Zealand's thoughts are with London today following the terrible attacks at London Bridge and Borough Market."""
869773491100200960,2017-05-31 04:32:14,b'RT @pmbillenglish: Was visited by some puppies from Police and Customs today.\nhttps://t.co/NRlT4aSEhp'
868936716958056448,2017-05-28 21:07:12,b'RT @toddmcclaymp: Trade equals jobs. So fantastic to see such strong numbers last month with goods exports up 9.8%\n@MFATgovtNZ @NZ_Global @\xe2\x80\xa6'
867967313634508800,2017-05-26 04:55:08,b'RT @pmbillenglish: Our economic plan is delivering for New Zealanders and their families with more jobs and higher incomes. https://t.co/fV\xe2\x80\xa6'
867906705669017601,2017-05-26 00:54:18,b'RT @pmbillenglish: Our $2 billion a year Family Incomes Package will see hard working Kiwis keep more of their income each week. https://t.\xe2\x80\xa6'
867593366485127169,2017-05-25 04:09:12,b'RT @pmbillenglish: Find out details of how our $2b Family Incomes Package benefits you &gt; https://t.co/gzo6JF84pV'
867592671275098113,2017-05-25 04:06:26,"b""RT @pmbillenglish: #NZBudget2017 is a Budget that's delivering for New Zealanders with a $2b a year Family Incomes Package.\nhttps://t.co/Va\xe2\x80\xa6"""
867563478369816576,2017-05-25 02:10:26,b'RT @NZNationalParty: #NZBudget2017 is about delivering for New Zealanders - @stevenljoyce'
867528964721463296,2017-05-24 23:53:17,b'RT @pmbillenglish: It\xe2\x80\x99s steak and cheese! A pleasure to continue the tradition by presenting @stevenljoyce with the winning pie from the Bu\xe2\x80\xa6'
867172529290452992,2017-05-24 00:16:56,"b""RT @pmbillenglish: Signed the British High Commission\xe2\x80\x99s condolence book for the Manchester attack to express NZ's sympathy for the victims\xe2\x80\xa6"""
866932186242465792,2017-05-23 08:21:54,b'RT @pmbillenglish: Here\xe2\x80\x99s a wrap up of the pre-Budget announcements we\xe2\x80\x99ve made. @stevenljoyce will reveal everything else in #NZBudget2017\xe2\x80\xa6'
866849643107303424,2017-05-23 02:53:54,b'RT @pmbillenglish: My thoughts are with the people of Manchester following today\xe2\x80\x99s tragedy.'
864961773337624577,2017-05-17 21:52:11,"b""RT @simonjbridges: Great to see improved travel times on Auckland's Southern Motorway since the opening of this additional lane.\nhttps://t.\xe2\x80\xa6"""
864792437624979456,2017-05-17 10:39:18,b'RT @pmbillenglish: I had a wide ranging and productive meeting with PM @AbeShinzo where we discussed many areas of common interest - includ\xe2\x80\xa6'
864342550194176000,2017-05-16 04:51:37,"b'RT @pmbillenglish: We\xe2\x80\x99ve announced the biggest Housing NZ build programme since the 1950s to deliver 34,000 new homes for Auckland. https:/\xe2\x80\xa6'"
864251250606358528,2017-05-15 22:48:49,b'RT @pmbillenglish: My visit to Japan and Hong Kong is an important opportunity to back our exporters by opening doors to new markets.\nhttps\xe2\x80\xa6'
862835401555181568,2017-05-12 01:02:45,"b'RT @simonjbridges: #NZBudget2017 will see over $300m invested into the continuation of NZ screen industry production grants, both globally\xe2\x80\xa6'"
862453585635819521,2017-05-10 23:45:33,b'RT @paulabennettmp: At #TRENZ where @maggiebarrynz and I have just announced a big $178m package for tourism infrastructure #NZBudget2017 h\xe2\x80\xa6'
860238999583023104,2017-05-04 21:05:34,b'RT @pmbillenglish: New Zealand thanks the Duke of Edinburgh for his unwavering service and dedication.'
860065520757821440,2017-05-04 09:36:14,"b'RT @pmbillenglish: We are not here to service misery, we are here to reduce it. https://t.co/qSVKfVxAQw'"
859673742112206848,2017-05-03 07:39:26,b'RT @cjsbishop: Interviewed @pmbillenglish in my office this evening on Facebook live. Check it out here! https://t.co/NecrpLkdg8 https://t.\xe2\x80\xa6'
859543674857730048,2017-05-02 23:02:36,b'RT @pmbillenglish: Tune into my Facebook page from 11:55am as I live stream my first pre-Budget speech.\nhttps://t.co/bu8OMcxaro'
859524070710194176,2017-05-02 21:44:42,b'Excited to be joining the Board of @FlyAirNZ to keep on promoting New Zealand as the top tourism destination in the\xe2\x80\xa6 https://t.co/H86HBmpSLh'
859269124764999680,2017-05-02 04:51:38,"b'RT @jcolemanmp: Great to have Kristine Bartlett + Union, DHB &amp; health reps in my office to sign the $2b pay equity settlement for 55,000 he\xe2\x80\xa6'"
857798390410641408,2017-04-28 03:27:28,"b""RT @pmbillenglish: A growing economy &amp; sound finances mean we're able to build big infrastructure projects like the Waikato Expressway.\nhtt\xe2\x80\xa6"""
857446949250670593,2017-04-27 04:10:57,b'RT @stevenljoyce: The Govt is allocating $11Bn in new capital spend over the next 4 yrs taking our total capital spend to $23Bn https://t.c\xe2\x80\xa6'
857418812412407808,2017-04-27 02:19:09,b'RT @NZNationalParty: This National-led Government is New Zealand\xe2\x80\x99s infrastructure government. Read more --&gt; https://t.co/bKC1o3KhwA'
857406552860315648,2017-04-27 01:30:26,b'RT @pmbillenglish: .@stevenljoyce has just announced that we\xe2\x80\x99re providing an $11b boost to infrastructure investment to support our growing\xe2\x80\xa6'
847292763846483968,2017-03-30 03:41:51,b'RT @pmbillenglish: Enjoyed getting my Red Bands on and having a look around the exhibitors at the South Island Agricultural Field Days Days\xe2\x80\xa6'
846247508674174979,2017-03-27 06:28:23,b'RT @pmbillenglish: An absolute pleasure to meet with Premier Li in Wellington &amp; progress a range of measures to further grow our strong rel\xe2\x80\xa6'
845007509626613761,2017-03-23 20:21:04,"b'RT @pmbillenglish: I\xe2\x80\x99ve set an ambitious target of 90% of our goods exports being covered by FTAs by 2030, opening up more opportunities fo\xe2\x80\xa6'"
845006626771820544,2017-03-23 20:17:33,b'RT @stevenljoyce: Big crowd in for @pmbillenglish trade strategy speech https://t.co/uaR97rfeFz'
845004066858053633,2017-03-23 20:07:23,b'RT @toddmcclaymp: Trade Agenda 2030 sets new targets for better market access for our goods exports. @MFATgovtNZ @NZ_Global https://t.co/pN\xe2\x80\xa6'
845001902437781507,2017-03-23 19:58:47,b'RT @toddmcclaymp: @pmbillenglish has launched Trade Agenda 2030 with a major support package to help increase exports. @MFATgovtNZ @NZ_Glob\xe2\x80\xa6'
845000307679518720,2017-03-23 19:52:27,b'RT @MFATgovtNZ: https://t.co/ixrDDtmP2h'
844996304455426048,2017-03-23 19:36:32,b'RT @MFATgovtNZ: Join us around 9.00am today for a live discussion with @pmbillenglish on international trade https://t.co/OgLIKoa7pu'
844740310039093248,2017-03-23 02:39:19,"b""RT @amyadamsMP: Today w @phil_goff I anncd launch of Housing 1st Auckland to help get AK's rough sleepers off streets &amp; into secure, suppor\xe2\x80\xa6"""
