id,created_at,text
565863659877203968,2015-02-12 13:23:04,b'@PresidencyZA thanks to all those who sent constructive suggestions on issues to address for #SONA2015'
386815004021764096,2013-10-06 11:27:38,"b'Promoting a caring society as a guest of the Evangelical... in Giyani, Limpopo'"
386780024801476608,2013-10-06 09:08:38,"b""Happy Grandparents' day to all grandparents in SA.Let us continue to protect and give them the special attention they deserve."""
386464617297215488,2013-10-05 12:15:19,b'teaching as you hold the future of our country in your hands.'
386464562439925760,2013-10-05 12:15:06,"b'On World Teachers Day, I urge all teachers to rededicate and recommit themselves to quality learning and'"
386424641813630977,2013-10-05 09:36:28,"b'Our whole nation supports the Springboks this afternoon as they face old rivals, the All Blacks at Ellis Park! Go Bokke!!'"
338951542520569856,2013-05-27 09:35:19,b'Support Child Protection Week this week by committing to protect our children.'
338184123980058624,2013-05-25 06:45:52,b'Africa is rising! Our time has indeed come. Happy Africa Day to all!'
338184043730460673,2013-05-25 06:45:33,"b'Over the last decade, six of the world\xe2\x80\x99s ten fastest growing economies were in Africa.'"
338170485391110144,2013-05-25 05:51:41,"b'Let us celebrate the Jubilee by promoting peace, unity, dignity and prosperity in our beloved continent! Happy Africa Day to all!'"
338170409537122304,2013-05-25 05:51:23,b'Today marks the 50th anniversary of the Organisation of African Unity.'
321577941333057536,2013-04-09 10:58:50,"b'Congrats to Africa\xe2\x80\x99s newest Head of State, HE Uhuru Kenyatta of Kenya, looking forward to further growing ties between our two nations!'"
292983689825112064,2013-01-20 13:15:29,b'Happy 70th birthday to my friend President Guebuza!Have many more!'
177424833020305408,2012-03-07 16:05:51,"b""I ve just arrived in Kimberely at the house of Northern Cape Premier Hazel Jenkins to check how she's recovering after she fell ill"""
166799012815568897,2012-02-07 08:22:38,"b'Thanks for your contributions to the SONA, I have already identified some issues that I agree need immediate attention Keep them coming'"
155916469312561152,2012-01-08 07:39:17,"b""It feels good to be here in Mangaung.  I wouldn't have it any other way.  The ANC is great."""
154940871215808513,2012-01-05 15:02:37,b'The overwhelming sense of pride is with us as I arrive to join masses and leaders of the ANC in Mangaung ahead of the centenary celebrations'
131988262372900864,2011-11-03 06:57:08,b'Wonderful listening to the concerns of fellow South Africans on Tuesday. Today I take some of those concerns to the leaders of BRICS & #G20'
129093280423092225,2011-10-26 07:13:31,"b'During this auspicious time we wish the Hindu, Tamil, Gujerati & other communities a Happy #Diwali & a prosperous New Year!'"
123425104783880192,2011-10-10 15:50:12,"b'I urge all South Africans and all who reside in our country, to avail themselves to be counted. #Census2011  http://t.co/cvODB5fm'"
123424993932611585,2011-10-10 15:49:46,b'#Census2011 From 10-31 October government will send people to your homes to count members of households to help us plan for a better future'
122283017128513537,2011-10-07 12:11:57,"b'I would like to wish Archbishop Desmond #Tutu a hearty birthday & a long healthy life Happy Birthday Arch, ukuhle njalo http://t.co/v9pis9nY'"
120795162833195008,2011-10-03 09:39:45,b'Please nominate the hero or heroine of your choice for the South African National Orders. http://t.co/2ttUjnqG #nationalorders'
119448731564257280,2011-09-29 16:29:31,"b'Just finished my monitoring visit to Eastern Cape, reporting to Madiba now in Qunu! Always a pleasure to see him!'"
108846239428247552,2011-08-31 10:19:00,b'We join the Muslim community in celebrating the end of Ramadan & wish them a happy Eid-ul-Fitr! May you have a peaceful & joyous Eid Mubarak'
108088125238165504,2011-08-29 08:06:31,b'Wonderful meeting the #Springboks Rugby team this morning. Let us all unite behind the #Bokke @bokrugby  http://t.co/YMBDJlq'
104488520445460480,2011-08-19 09:42:59,"b'Looking forward to attending SARS Amakhwezi Awards tonight, where we honour top performing public servants..working together we can do more!'"
100812337270886400,2011-08-09 06:15:08,"b'Today we honour the contribution of women to making South Africa a thriving non-sexist, non-racial & prosperous democracy. Happy #WomensDay'"
99387076352540672,2011-08-05 07:51:40,"b'Meeting media owners to discuss New Growth Path, media development & diversity, promotion of Brand SA & government marketing. #MediaSummit'"
97576929875599360,2011-07-31 07:58:47,b'On behalf of the government and people of South Africa we wish the Muslim community well over the fast of Ramadan. http://t.co/jN0OHJ2'
96511258911719424,2011-07-28 09:24:11,"b'...to finalise our service delivery, infrastructure & employment creation projects & plans'"
96511116376674304,2011-07-28 09:23:37,"b'We welcomed Premiers & local govt representatives today at the Cabinet lekgotla, who have joined Ministers & Deputy Ministers on day 3...'"
93316559061254144,2011-07-19 13:49:36,"b'Happy birthday to my friend, colleague, brother and comrade, Deputy President Kgalema Motlanthe! Have many many more!  http://t.co/MB3COjH'"
92826255438786561,2011-07-18 05:21:18,b'...ending the day with a courtesy call on #Madiba In Qunu. Happy birthday Tata! #MandelaDay'
92825523750842368,2011-07-18 05:18:24,"b'I look forward to fruitful talks with Prime Minister Cameron, and later the launch of the ANC 1million membership campaign at Rivonia...'"
91767268006047744,2011-07-15 07:13:16,"b""I encourage you all to tune into channel 107   Tonight on dstv at 7pm for a new sitcom 'it's for life' it promises to be great #itsforlife"""
89013250808745985,2011-07-07 16:49:47,b'We are discussing improvements to provincial health care. Wishing the royal couple all the best!'
89013120466563072,2011-07-07 16:49:16,b'I will unfortunately miss wedding reception of HSH Prince Albert & Princess Charlene. Still meeting Limpopo Provincial EXCO in Lebowakgomo'
88884084809547777,2011-07-07 08:16:31,b'My Ministers & I are currently visiting health facilities in Limpopo province as part of our Monitoring and Evaluation Site Visits programme'
88108261575897088,2011-07-05 04:53:41,b'Just touched down in Durban. Looking forward to welcoming the members of the IOC for the 123rd Session being held in Durban this week.'
87464155380064256,2011-07-03 10:14:14,b'We are pleased to welcome the Olympic movement to South Africa for the first IOC Session to be held on the continent. http://t.co/wRzvksF'
87183019256975361,2011-07-02 15:37:06,"b'We welcome them to Durban, South Africa next week during the 123rd Session of the International Olympic Committee #Monacowedding'"
87182500845191171,2011-07-02 15:35:02,b'Congratulations to HSH Prince Albert and HSH Princess Charlene of Monaco on their nuptials. #monacowedding'
86985203750404096,2011-07-02 02:31:03,b'Just arrived from the African Union Summit in Equatorial Guinea. Glad to be back in Mzansi.'
86482773916921856,2011-06-30 17:14:34,b'The backlog is enormous but we have a good plan. http://t.co/bDfAC03'
86480414163742720,2011-06-30 17:05:12,b'The primary school national assessment results show we must work harder than ever together to improve education. http://t.co/bDfAC03'
85370316095885312,2011-06-27 15:34:04,b'On my way to Equatorial Guinea to attend the African Union Summit. We need more Africa-owned and Africa-led solutions to our problems.'
83434753881153536,2011-06-22 07:22:50,"b'I am taking a few days off to rest and enjoy watching the sun rise and set without rushing anywhere, till Saturday.'"
82379876841177088,2011-06-19 09:31:07,b'Unfortunately unable to join rally in Beaufort West as ash cloud has grounded plane. Apologies to those who made the trip to the stadium.'
82339345205440512,2011-06-19 06:50:04,b'On this #FathersDay take responsibility for your children. Be that superhero. Happy #FathersDay'
82339049829961729,2011-06-19 06:48:53,b'#FathersDay He is the first male role-model a child encounters. His behaviour determines their relationship with other male figures.'
82338554130333696,2011-06-19 06:46:55,"b'Happy #FathersDay. For many children, their father is their first superhero. He protects, guides and inspires a child.'"
81259203330703360,2011-06-16 07:17:58,b'On #YouthDay let us honour the generation of 1976 by taking advantage of the economic opportunities that our democracy has blessed us with.'
