day,hour,value
5,3,2
5,5,4
5,9,15
5,11,5
5,12,4
5,16,1
5,2,1
5,7,9
5,8,3
5,13,8
5,14,5
5,15,3
5,18,4
5,0,1
5,17,14
5,22,4
5,10,1
5,4,1
5,20,3
5,21,1
6,15,3
6,17,6
6,3,1
6,5,1
6,6,1
6,9,2
6,18,2
6,22,19
6,23,10
6,8,1
6,11,1
6,13,4
6,14,5
6,4,1
6,7,3
6,10,1
6,19,1
6,20,1
7,10,3
7,11,9
7,13,3
7,14,11
7,15,10
7,16,5
7,18,13
7,19,25
7,0,5
7,12,5
7,6,2
7,5,1
7,8,1
7,17,2
1,10,1
1,11,3
1,15,2
1,18,1
1,19,5
1,7,2
1,9,5
1,3,2
1,6,8
1,13,3
1,21,7
1,23,10
1,4,1
1,5,4
1,17,1
2,4,4
2,12,1
2,14,2
2,15,7
2,19,4
2,9,2
2,16,1
2,7,4
2,8,1
2,18,1
3,3,10
3,4,7
3,7,9
3,10,6
3,15,9
3,16,14
3,18,2
3,23,2
3,2,2
3,5,9
3,6,4
3,8,1
3,11,7
3,12,5
3,13,4
3,14,1
3,9,5
3,20,7
3,21,2
3,17,1
4,0,4
4,3,7
4,4,4
4,5,3
4,7,3
4,8,10
4,10,3
4,13,19
4,14,8
4,15,13
4,9,4
4,11,3
4,20,4
4,22,3
4,23,6
4,6,4
4,12,1
4,17,1
4,19,2
